17: me
15: go
13: you
12: let
10: no
10: a
8: just
8: to
8: the
7: will
6: not
6: and
5: galileo
5: really
5: this
4: matters
4: mama
4: easy
4: my
4: i
4: nothing
4: all
4: poor
4: im
3: for
3: time
3: wind
3: we
3: life
3: come
3: mia
3: mamma
3: little
3: him
3: can
3: from
3: gotta
3: bismillah
3: see
3: blows
3: boy
2: hes
2: on
2: carry
2: oh
2: ooh
2: scaramouche
2: now
2: put
2: leave
2: do
2: baby
2: man
2: ive
2: but
2: has
2: his
2: any
2: think
2: get
2: so
2: way
2: if
2: die
2: is
2: in
2: very
1: need
1: nobody
1: doesnt
1: eyes
1: of
1: open
1: frightening
1: sympathy
1: right
1: goodbye
1: again
1: reality
1: skies
1: cant
1: dont
1: low
1: born
1: face
1: beelzebub
1: killed
1: tomorrow
1: aside
1: escape
1: fantasy
1: spit
1: truth
1: caught
1: figaro
1: look
1: trigger
1: back
1: gun
1: up
1: begun
1: down
1: wish
1: sometimes
1: stone
1: been
1: love
1: anyway
1: outta
1: family
1: shivers
1: wanna
1: head
1: dead
1: everybody
1: had
1: eye
1: loves
1: thrown
1: magnifico
1: spare
1: behind
1: here
1: gone
1: bodys
1: thunderbolt
1: lightning
1: against
1: late
1: make
1: got
1: silhouetto
1: fandango
1: landslide
1: didnt
1: sends
1: id
1: because
1: real
1: monstrosity
1: mean
1: pulled
1: too
1: spine
1: it
1: matter
1: your
1: at
1: as
1: devil
1: cry
1: away
1: never
1: aching
1: anyone
1: high
1: ah
1: out
